transaction_id,user_id,timestamp,amount,merchant_id,merchant_cat,country,device_id,ip_address,is_fraud,fraud_pattern
dfdea042-d1d0-4076-be07-14bbde2c4cdc,user_02168,2026-06-18T04:06:38.635400Z,274.22,MER-0007eE,grocery,IN,bb0edfe2e59b70ac,138.4.240.158,0,
99d7f5bd-c326-418e-81ae-3425a041c8e4,user_07768,2026-06-18T04:06:39.127035Z,893.04,MER-9009Cz,grocery,US,78a1338506e808e0,166.78.202.223,0,
08e3936e-3656-4b4c-9496-8d4139299c7e,user_03033,2026-06-18T04:06:38.719025Z,1021.02,MER-9080Hs,travel,AE,fccce72078393476,101.36.63.202,0,
180d8138-a304-4447-a3c4-d751a0a6179f,user_01758,2026-06-18T04:06:38.609145Z,193.09,MER-2543Yk,restaurant,AE,00b86e5f64a10917,207.249.68.179,0,
c5042725-5ce2-4224-b899-85c233de5c37,user_06691,2026-06-18T04:06:39.084352Z,1126.38,MER-7946gA,travel,US,9096eb5e5bcce8e6,79.32.226.26,0,
2e33c1ec-e91b-4b16-bdee-d6efef0a111b,user_00033,2026-06-18T04:06:38.476754Z,250.5,MER-7795Uc,grocery,IN,f33fb3cc15e73438,141.92.168.217,0,
14666443-35b1-4554-9c65-c340dab3a895,user_08849,2026-06-18T04:06:39.172001Z,3884.26,MER-4725MY,travel,US,bd1c793d14f17113,50.143.211.255,0,
c7ee0c10-5b83-48fa-862d-10d369105a68,user_08020,2026-06-18T04:06:39.136561Z,4018.91,MER-7920kb,utility,IN,16c5254b2db5c121,198.186.83.125,0,
a7bb4e64-418e-4326-9e5b-83f818178761,user_04689,2026-06-18T04:06:38.829030Z,326.52,MER-6656ya,electronics,IN,c105baf89d2aa5d0,140.200.43.148,0,
876ee765-715d-4a1f-9a5b-8f24dec124e6,user_03337,2026-06-18T04:06:38.768757Z,1194.63,MER-6688WF,grocery,IN,33e7b41ceb5104dd,37.143.76.17,0,
5ab19de2-e243-48d9-9328-ee65f5dcde9b,user_08874,2026-06-18T04:06:39.173584Z,575.1,MER-3286Rn,crypto,AE,93aa7c3f6a2a6b43,201.214.10.166,0,
eae2b190-32bd-4f1e-bb1f-a7b68554efd9,user_05816,2026-06-18T04:06:38.977315Z,922.48,MER-0551AM,utility,AE,7a5ff8c0acec71ed,67.124.2.45,0,
c1997848-aca4-4f65-967c-05019bec274b,user_09701,2026-06-18T04:06:39.210862Z,3599.51,MER-9918MB,restaurant,IN,5eae4378e6fca513,120.4.61.63,0,
9192da6e-f731-4774-8770-304da1a69a8c,user_03886,2026-06-18T04:06:38.797886Z,204.94,MER-3393dw,crypto,IN,7144cd0529b33ecd,201.169.157.128,0,
e8fb6e8c-0a16-46c5-9e2a-3e13c2e24f4f,user_02088,2026-06-18T04:06:38.630823Z,312.56,MER-1718VT,grocery,SG,e8aa88f0c299276b,74.95.157.160,0,
97684784-b83d-42c3-9640-f65817901f9e,user_09867,2026-06-18T04:06:39.225778Z,3079.42,MER-5291wl,travel,US,d2c544db01648356,157.62.110.123,0,
28fe4a2f-2760-4acc-9d64-b91bd9e145f2,user_08478,2026-06-18T04:06:39.156057Z,141.9,MER-9667Ex,travel,IN,9b31281675226121,201.245.73.18,0,
c40ce0aa-ed48-4028-a862-8066d6340722,user_04610,2026-06-18T04:06:38.826526Z,747.78,MER-4507Gr,restaurant,IN,7860029508365184,2.179.174.40,0,
c172aecd-ec59-42e1-9b13-027d5f77de2b,user_01862,2026-06-18T04:06:38.614760Z,3622.85,MER-0867cH,grocery,AE,30d52c7b262c52e7,116.25.215.52,0,
e6befd19-1876-40c9-91b9-8dcd568e23d7,user_08756,2026-06-18T04:06:39.168495Z,710.73,MER-6520jE,electronics,IN,44083318b0dd13a1,108.57.55.248,0,
535e84ff-8bbe-4876-96b2-bf8ad80bdbce,user_08024,2026-06-18T04:06:39.136561Z,217.81,MER-9756La,travel,IN,435f6ec587defa1f,206.4.202.125,0,
1f272138-b9fe-4b52-9255-8591ae1253dd,user_06173,2026-06-18T04:06:39.040174Z,157.3,MER-4804Hx,grocery,IN,ed247a28cfb349f5,121.219.68.165,0,
d1de0f6c-eea6-4974-973b-5c09ee2ed745,user_04902,2026-06-18T04:06:38.840057Z,686.03,MER-3302hR,restaurant,SG,65ba1a47afbb2d3c,116.35.241.135,0,
50dd619b-8cea-4e85-8ec2-35af42e30398,user_07738,2026-06-18T04:06:39.126031Z,644.99,MER-6150Jb,grocery,IN,2a3e1dd860be2bcc,123.157.245.19,0,
280ff926-320e-4174-b2d7-6607e3d630ea,user_05970,2026-06-18T04:06:39.008566Z,1124.42,MER-1850qV,utility,IN,10b40609bf703ab3,153.98.30.215,0,
450a0a89-98a6-403b-a8c4-9ae8efd3ee60,user_08354,2026-06-18T04:06:39.151041Z,268.06,MER-8679Ur,utility,SG,522527dd0f5d973e,112.137.144.200,0,
09f62869-9357-476d-ab4b-913e2cdc633d,user_03379,2026-06-18T04:06:38.772271Z,476.41,MER-4568Lk,grocery,IN,4abf82b34cd369c5,210.129.97.226,0,
f4f0dcdf-58ea-4629-bffa-6c7486da02ff,user_04922,2026-06-18T04:06:38.840057Z,832.61,MER-6800Rm,crypto,IN,8bb679b5164523f2,52.19.202.103,0,
0dd51259-4291-4881-91d3-b011c02fed33,user_08148,2026-06-18T04:06:39.142067Z,1133.04,MER-7053XA,crypto,US,44e82a5427c4037a,4.69.55.244,0,
39ebca0d-9224-45c0-b9a7-926cbeb286e5,user_08947,2026-06-18T04:06:39.176621Z,427.66,MER-2906OT,travel,SG,6b089b47c7b93601,82.75.77.88,0,
9ee96bba-74f0-465d-a13a-d5685e9ca03f,user_05549,2026-06-18T04:06:38.915225Z,199.11,MER-3546uh,travel,IN,b0495f08686ea0db,43.110.166.133,0,
b23d54c5-26fa-4e88-8a0d-b78fd1dd090e,user_09936,2026-06-18T04:06:39.234864Z,629.64,MER-7759DO,crypto,IN,7b85fb7753959058,183.126.20.94,0,
8e1f8d33-2e15-45f6-ab39-783348a39881,user_09283,2026-06-18T04:06:39.190049Z,78.79,MER-9193uC,travel,IN,eec04b70a219fbfa,179.20.86.177,0,
27055a55-ddbe-49dc-bc40-abec811a76d1,user_05125,2026-06-18T04:06:38.850318Z,3936.64,MER-6498RV,electronics,IN,3e9ec3d3147bc1ac,130.111.246.212,0,
6e87fff0-903c-48bb-8d35-95b6fa0f3cca,user_08842,2026-06-18T04:06:39.172001Z,333.53,MER-2551sl,utility,IN,ee677579d03d288e,91.17.182.131,0,
3a86b710-5f67-4100-8bfe-565a2560c367,user_01347,2026-06-18T04:06:38.573258Z,276.24,MER-6234DJ,grocery,IN,854f85f30fbf6611,173.0.225.110,0,
a8466225-1569-403c-9aed-a212fd4223ab,user_00096,2026-06-18T04:06:38.482269Z,136.01,MER-0859VG,travel,IN,3234d0c8259852a8,177.157.41.175,0,
